1,ESTAS
2,ESTOY
3,TENGO
4,DONDE
5,VAMOS
6,PUEDO
7,TIENE
8,AHORA
9,QUIEN
10,BUENO
11,TODOS
12,PUEDE
13,HACER
14,NUNCA
15,ESTAN
16,SABES
17,HASTA
18,SOBRE
19,USTED
20,MEJOR
21,MUCHO
22,ESTAR
23,ANTES
24,DECIR
25,NADIE
26,DESDE
27,FAVOR
28,TENIA
29,HABIA
30,GENTE
31,COSAS
32,HECHO
33,SEÑOR
34,TENER
35,BUENA
36,ELLOS
37,FUERA
38,CREES
39,TODAS
40,MENOS
41,HABER
42,PADRE
43,CLARO
44,GUSTA
45,LUGAR
46,ALGUN
47,LUEGO
48,QUIZA
49,ESTOS
50,HACIA
51,HEMOS
52,MISMO
53,NOCHE
54,ENTRE
55,VISTO
56,MUNDO
57,SOMOS
58,PARTE
59,PENSE
60,SABER
61,SERIA
62,DEBES
63,AMIGO
64,HACES
65,MADRE
66,VECES
67,NUEVO
68,SABIA
69,TANTO
70,SALIR
71,MUJER
72,NUEVA
73,UNICO
74,FORMA
75,SIGUE
76,PODER
77,CHICA
78,DEJAR
79,DICHO
80,VIENE
81,TOMAR
82,LLAMA
83,RAZON
84,HABLA
85,OTROS
86,JUSTO
87,CHICO
88,CINCO
89,PODIA
90,PASAR
91,DICEN
92,VIEJO
93,LLAMO
94,PUEDA
95,ACABO
96,TARDE
97,SABEN
98,CERCA
99,VENGA
100,FELIZ
101,MANOS
102,QUEDA
103,IGUAL
104,UNICA
105,VENIR
106,CLASE
107,TRATA
108,HAGAS
109,DICES
110,HACEN
111,MATAR
112,TENGA
113,HABRA
114,NIÑOS
115,MUCHA
116,ADIOS
117,LLEVO
118,CREER
119,MIEDO
120,MEDIO
121,DEBEN
122,PUNTO
123,VIVIR
124,MISMA
125,LLEVA
126,VERAS
127,LISTO
128,JAMAS
129,MAYOR
130,LLEGO
131,AYUDA
132,TRATO
133,HORAS
134,JUEGO
135,DIGAS
136,FALTA
137,GUSTO
138,ACABA
